R9BHB  LON,LAT,size  -62.163777351379395 -38.71608853340149 1672
399.483516 398.6836257313158 774 -174.07570728188898 240.74108060527874
399.483725 398.68383473131576 896 -173.953707281889 240.86308060527872
399.48385 398.6839597313158 1024 -173.82570728188898 240.99108060527874
399.484266 398.68437573131575 1312 -173.53770728188897 241.27908060527875
399.484808 398.68491773131575 1280 -173.56970728188898 241.24708060527874
399.484975 398.6850847313158 1024 -173.82570728188898 240.99108060527874
399.485141 398.68525073131576 896 -173.953707281889 240.86308060527872
480.125928 479.32603773131575 -659 -175.50870728188897 239.30808060527875
480.126303 479.32641273131577 -804 -175.65370728188898 239.16308060527874
480.126678 479.3267877313158 -728 -175.577707281889 239.23908060527873
480.308053 479.50816273131574 -656 -175.505707281889 239.31108060527873
480.308511 479.5086207313158 -788 -175.637707281889 239.17908060527873
480.308886 479.50899573131574 -706 -175.55570728188897 239.26108060527875
480.491928 479.69203773131574 -780 -175.62970728188898 239.18708060527874
480.492094 479.6922037313158 -896 -175.74570728188897 239.07108060527875
480.492428 479.6925377313158 -1080 -175.929707281889 238.88708060527873
480.492886 479.69299573131576 -1024 -175.87370728188898 238.94308060527874
480.493136 479.69324573131576 -748 -175.59770728188897 239.21908060527875
480.515344 479.7154537313158 -785 -175.63470728188898 239.18208060527874
480.515553 479.7156627313158 -896 -175.74570728188897 239.07108060527875
480.515928 479.71603773131574 -1028 -175.87770728188897 238.93908060527875
480.517511 479.7176207313158 -1024 -175.87370728188898 238.94308060527874
480.517678 479.71778773131575 -746 -175.595707281889 239.22108060527873
480.608511 479.8086207313158 -781 -175.630707281889 239.18608060527873
480.608802 479.8089117313158 -966 -175.815707281889 239.00108060527873
480.609386 479.80949573131574 -756 -175.60570728188898 239.21108060527874
480.654844 479.8549537313158 -784 -175.63370728188897 239.18308060527875
480.654927 479.85503673131575 -896 -175.74570728188897 239.07108060527875
480.655052 479.8551617313158 -1024 -175.87370728188898 238.94308060527874
480.655469 479.85557873131575 -1344 -176.19370728188898 238.62308060527874
480.656719 479.8568287313158 -1280 -176.12970728188898 238.68708060527874
480.656844 479.85695373131574 -1024 -175.87370728188898 238.94308060527874
480.656927 479.85703673131576 -730 -175.57970728188897 239.23708060527875
480.672719 479.87282873131574 -773 -175.62270728188898 239.19408060527874
480.673094 479.87320373131575 -974 -175.82370728188897 238.99308060527875
480.673636 479.87374573131575 -750 -175.59970728188898 239.21708060527874
480.677594 479.87770373131576 -788 -175.637707281889 239.17908060527873
480.678011 479.8781207313158 -1016 -175.86570728188897 238.95108060527875
480.678469 479.87857873131577 -738 -175.58770728188898 239.22908060527874
480.697636 479.89774573131575 -788 -175.637707281889 239.17908060527873
480.697761 479.8978707313158 -896 -175.74570728188897 239.07108060527875
480.699427 479.8995367313158 -1224 -176.07370728188897 238.74308060527875
480.699969 479.9000787313158 -1024 -175.87370728188898 238.94308060527874
480.700219 479.90032873131577 -746 -175.595707281889 239.22108060527873
480.718302 479.91841173131576 -772 -175.62170728188897 239.19508060527875
480.718469 479.9185787313158 -896 -175.74570728188897 239.07108060527875
480.718636 479.91874573131577 -1024 -175.87370728188898 238.94308060527874
480.719177 479.91928673131576 -1312 -176.161707281889 238.65508060527873
480.719927 479.92003673131575 -1280 -176.12970728188898 238.68708060527874
480.720219 479.92032873131575 -964 -175.81370728188898 239.00308060527874
480.720761 479.92087073131574 -1060 -175.90970728188898 238.90708060527874
480.721136 479.92124573131576 -1024 -175.87370728188898 238.94308060527874
480.721261 479.9213707313158 -768 -175.61770728188898 239.19908060527874
480.727011 479.92712073131577 768 -174.08170728188898 240.73508060527874
480.727344 479.9274537313158 898 -173.951707281889 240.86508060527873
480.727719 479.92782873131574 882 -173.96770728188898 240.84908060527874
480.734011 479.9341207313158 896 -173.953707281889 240.86308060527872
480.734427 479.93453673131575 1024 -173.82570728188898 240.99108060527874
480.734886 479.9349957313158 896 -173.953707281889 240.86308060527872
480.740469 479.9405787313158 -785 -175.63470728188898 239.18208060527874
480.740802 479.94091173131574 -898 -175.74770728188898 239.06908060527874
480.741261 479.94137073131577 -712 -175.56170728188897 239.25508060527875
480.742052 479.94216173131576 -783 -175.63270728188897 239.18408060527875
480.742552 479.94266173131575 -926 -175.77570728188897 239.04108060527875
480.744344 479.9444537313158 -760 -175.60970728188897 239.20708060527875
480.766719 479.9668287313158 -802 -175.65170728188897 239.16508060527875
480.766802 479.96691173131575 -896 -175.74570728188897 239.07108060527875
480.766886 479.96699573131576 -1024 -175.87370728188898 238.94308060527874
480.767011 479.9671207313158 -1280 -176.12970728188898 238.68708060527874
480.767177 479.96728673131577 -1536 -176.38570728188898 238.43108060527874
480.767344 479.96745373131574 -1792 -176.64170728188898 238.17508060527874
480.767719 479.96782873131576 -2064 -176.91370728188897 237.90308060527875
480.768302 479.96841173131577 -2048 -176.89770728188898 237.91908060527874
480.768677 479.9687867313158 -1536 -176.38570728188898 238.43108060527874
480.769011 479.96912073131574 -1280 -176.12970728188898 238.68708060527874
