R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1500
57.318794 56.45755328061274 523 100.10096841246755 258.895215816177
57.319294 56.458053280612745 686 100.26396841246756 259.0582158161769
57.319878 56.45863728061275 640 100.21796841246756 259.01221581617693
106.7869 105.92565928061275 -518 99.05996841246755 257.854215816177
106.787609 105.92636828061275 -682 98.89596841246755 257.69021581617693
106.791525 105.93028428061274 -640 98.93796841246755 257.73221581617696
125.476101 124.61486028061275 652 100.22996841246756 259.02421581617693
125.476726 124.61548528061275 874 100.45196841246755 259.24621581617697
125.47781 124.61656928061275 768 100.34596841246756 259.1402158161769
125.514518 124.65327728061274 -768 98.80996841246755 257.604215816177
125.516435 124.65519428061275 -958 98.61996841246756 257.4142158161769
125.517143 124.65590228061275 -768 98.80996841246755 257.604215816177
270.375879 269.51463828061276 653 100.23096841246756 259.02521581617697
270.376504 269.51526328061277 810 100.38796841246756 259.18221581617695
270.377046 269.51580528061277 742 100.31996841246756 259.11421581617697
307.347615 306.4863742806128 721 100.29896841246756 259.09321581617695
307.34824 306.48699928061274 496 100.07396841246755 258.8682158161769
315.43882 314.5775792806128 526 100.10396841246755 258.89821581617696
315.43932 314.57807928061277 648 100.22596841246755 259.020215816177
315.439945 314.5787042806128 504 100.08196841246756 258.87621581617697
319.526735 318.66549428061273 647 100.22496841246756 259.01921581617694
319.527402 318.66616128061276 870 100.44796841246756 259.24221581617695
319.528027 318.66678628061277 706 100.28396841246756 259.07821581617696
321.51286 320.65161928061275 647 100.22496841246756 259.01921581617694
321.513193 320.65195228061276 768 100.34596841246756 259.1402158161769
321.513485 320.65224428061276 896 100.47396841246756 259.26821581617696
321.513943 320.65270228061274 1084 100.66196841246756 259.45621581617695
321.51486 320.65361928061276 1024 100.60196841246756 259.39621581617695
321.515735 320.65449428061277 896 100.47396841246756 259.26821581617696
321.516151 320.65491028061274 760 100.33796841246756 259.13221581617694
324.381317 323.5200762806128 658 100.23596841246756 259.03021581617696
324.381567 323.5203262806128 768 100.34596841246756 259.1402158161769
324.381817 323.5205762806128 896 100.47396841246756 259.26821581617696
324.382358 323.52111728061277 1048 100.62596841246756 259.42021581617695
324.383275 323.5220342806128 1024 100.60196841246756 259.39621581617695
324.383525 323.5222842806128 896 100.47396841246756 259.26821581617696
324.383817 323.5225762806128 768 100.34596841246756 259.1402158161769
324.397275 323.53603428061274 -768 98.80996841246755 257.604215816177
324.40115 323.53990928061273 -998 98.57996841246755 257.37421581617696
324.401775 323.54053428061275 -768 98.80996841246755 257.604215816177
328.681607 327.82036628061275 647 100.22496841246756 259.01921581617694
328.682274 327.82103328061277 812 100.38996841246755 259.18421581617696
328.683232 327.82199128061274 768 100.34596841246756 259.1402158161769
328.689899 327.8286582806128 -653 98.92496841246755 257.7192158161769
328.690399 327.8291582806128 -768 98.80996841246755 257.604215816177
328.691607 327.83036628061274 -950 98.62796841246755 257.42221581617696
328.69294 327.8316992806128 -768 98.80996841246755 257.604215816177
328.693357 327.83211628061275 -640 98.93796841246755 257.73221581617696
332.877105 332.01586428061273 652 100.22996841246756 259.02421581617693
332.878064 332.01682328061275 880 100.45796841246755 259.25221581617694
332.878689 332.01744828061277 756 100.33396841246756 259.1282158161769
334.604313 333.74307228061275 652 100.22996841246756 259.02421581617693
334.60448 333.7432392806128 768 100.34596841246756 259.1402158161769
334.604646 333.74340528061276 896 100.47396841246756 259.26821581617696
334.604771 333.7435302806128 1024 100.60196841246756 259.39621581617695
334.605063 333.74382228061273 1280 100.85796841246756 259.6522158161769
334.60573 333.74448928061275 1776 101.35396841246755 260.14821581617696
334.606563 333.74532228061275 1536 101.11396841246756 259.90821581617695
334.606896 333.74565528061277 1280 100.85796841246756 259.6522158161769
334.607021 333.74578028061273 1024 100.60196841246756 259.39621581617695
334.607146 333.74590528061276 896 100.47396841246756 259.26821581617696
334.607271 333.7460302806128 706 100.28396841246756 259.07821581617696
335.111604 334.25036328061276 662 100.23996841246756 259.0342158161769
335.111729 334.2504882806128 768 100.34596841246756 259.1402158161769
335.111896 334.25065528061276 896 100.47396841246756 259.26821581617696
335.112021 334.2507802806128 1024 100.60196841246756 259.39621581617695
335.112438 334.25119728061276 1308 100.88596841246756 259.68021581617694
335.113938 334.2526972806128 1280 100.85796841246756 259.6522158161769
335.114229 334.2529882806128 1024 100.60196841246756 259.39621581617695
335.114521 334.2532802806128 896 100.47396841246756 259.26821581617696
335.114896 334.25365528061275 766 100.34396841246756 259.13821581617697
335.299479 334.4382382806128 647 100.22496841246756 259.01921581617694
335.299813 334.43857228061273 768 100.34596841246756 259.1402158161769
335.300521 334.43928028061276 906 100.48396841246756 259.27821581617695
335.301854 334.44061328061275 896 100.47396841246756 259.26821581617696
335.302354 334.44111328061274 756 100.33396841246756 259.1282158161769
336.141187 335.27994628061276 703 100.28096841246756 259.0752158161769
336.141979 335.28073828061275 508 100.08596841246755 258.88021581617693
339.221561 338.36032028061277 513 100.09096841246756 258.8852158161769
339.221728 338.36048728061274 640 100.21796841246756 259.01221581617693
339.221811 338.36057028061276 768 100.34596841246756 259.1402158161769
339.221936 338.3606952806128 896 100.47396841246756 259.26821581617696
339.222519 338.36127828061274 1272 100.84996841246756 259.64421581617694
339.223353 338.36211228061273 1024 100.60196841246756 259.39621581617695
