R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1697
173.120566 172.14310064849892 451 99.5146873595698 293.6906054503256
173.121482 172.1440166484989 556 99.61968735956981 293.7956054503256
173.122441 172.14497564849893 512 99.57568735956981 293.7516054503256
816.925878 815.9484126484989 -521 98.54268735956981 292.7186054503256
816.926336 815.9488706484989 -674 98.3896873595698 292.5656054503256
816.926961 815.9494956484989 -616 98.44768735956981 292.6236054503256
817.095545 816.1180796484989 -531 98.5326873595698 292.7086054503256
817.096086 816.1186206484989 -644 98.4196873595698 292.5956054503256
817.096961 816.1194956484989 -630 98.43368735956982 292.6096054503256
818.705836 817.7283706484989 -621 98.44268735956982 292.6186054503256
818.706336 817.7288706484989 -430 98.6336873595698 292.8096054503256
818.712502 817.7350366484989 -465 98.59868735956981 292.7746054503256
818.712919 817.735453648499 -572 98.49168735956981 292.6676054503256
818.713336 817.7358706484989 -446 98.61768735956981 292.7936054503256
819.036627 818.0591616484988 -524 98.53968735956981 292.7156054503256
819.036919 818.0594536484989 -640 98.42368735956981 292.5996054503256
819.037794 818.0603286484989 -828 98.23568735956981 292.4116054503256
819.038544 818.0610786484989 -768 98.29568735956981 292.4716054503256
819.038752 818.0612866484989 -636 98.42768735956982 292.6036054503256
819.099002 818.1215366484989 -513 98.5506873595698 292.7266054503256
819.099252 818.1217866484989 -640 98.42368735956981 292.5996054503256
819.099461 818.1219956484989 -768 98.29568735956981 292.4716054503256
819.100044 818.1225786484989 -992 98.07168735956981 292.2476054503256
819.100752 818.123286648499 -768 98.29568735956981 292.4716054503256
819.100919 818.1234536484989 -640 98.42368735956981 292.5996054503256
819.101086 818.1236206484989 -492 98.57168735956981 292.7476054503256
819.151002 818.1735366484988 -516 98.5476873595698 292.7236054503256
819.151419 818.1739536484989 -670 98.39368735956981 292.5696054503256
819.151836 818.1743706484989 -592 98.47168735956981 292.6476054503256
819.176461 818.1989956484989 -513 98.5506873595698 292.7266054503256
819.177127 818.1996616484989 -680 98.3836873595698 292.5596054503256
819.177669 818.2002036484989 -632 98.4316873595698 292.6076054503256
819.181794 818.2043286484989 -532 98.53168735956982 292.7076054503256
819.182294 818.2048286484988 -698 98.36568735956982 292.5416054503256
819.183086 818.2056206484989 -640 98.42368735956981 292.5996054503256
819.185836 818.2083706484989 523 99.58668735956981 293.7626054503256
819.186461 818.2089956484989 674 99.73768735956982 293.9136054503256
819.188586 818.2111206484989 640 99.70368735956981 293.8796054503256
819.223336 818.2458706484989 -519 98.5446873595698 292.7206054503256
819.223502 818.246036648499 -640 98.42368735956981 292.5996054503256
819.223669 818.2462036484989 -768 98.29568735956981 292.4716054503256
819.223752 818.2462866484989 -896 98.16768735956981 292.3436054503256
819.223836 818.2463706484989 -1024 98.03968735956981 292.2156054503256
819.224002 818.2465366484989 -1280 97.78368735956981 291.9596054503256
819.224169 818.2467036484989 -1536 97.52768735956981 291.7036054503256
819.224336 818.2468706484989 -1792 97.27168735956981 291.4476054503256
819.224794 818.2473286484989 -2152 96.91168735956981 291.0876054503256
819.225377 818.2479116484989 -2048 97.01568735956981 291.1916054503256
819.225627 818.2481616484989 -1536 97.52768735956981 291.7036054503256
819.225877 818.2484116484989 -1280 97.78368735956981 291.9596054503256
819.226086 818.2486206484989 -1024 98.03968735956981 292.2156054503256
819.226169 818.2487036484989 -768 98.29568735956981 292.4716054503256
819.226294 818.2488286484989 -640 98.42368735956981 292.5996054503256
819.226419 818.2489536484989 -512 98.55168735956981 292.7276054503256
819.226502 818.2490366484989 -358 98.70568735956981 292.8816054503256
819.272544 818.2950786484989 -525 98.5386873595698 292.7146054503256
819.272794 818.2953286484989 -640 98.42368735956981 292.5996054503256
819.273002 818.2955366484989 -768 98.29568735956981 292.4716054503256
819.273169 818.2957036484989 -896 98.16768735956981 292.3436054503256
819.273669 818.2962036484989 -1208 97.85568735956981 292.03160545032557
819.274336 818.2968706484988 -1024 98.03968735956981 292.2156054503256
819.274586 818.2971206484989 -768 98.29568735956981 292.4716054503256
819.274794 818.2973286484989 -640 98.42368735956981 292.5996054503256
819.275044 818.2975786484989 -472 98.59168735956982 292.7676054503256
819.365127 818.3876616484989 -596 98.46768735956981 292.6436054503256
819.365711 818.3882456484989 -432 98.63168735956981 292.8076054503256
819.403419 818.4259536484989 -521 98.54268735956981 292.7186054503256
819.403711 818.4262456484989 -640 98.42368735956981 292.5996054503256
819.403961 818.4264956484989 -768 98.29568735956981 292.4716054503256
819.404294 818.4268286484989 -896 98.16768735956981 292.3436054503256
819.404752 818.4272866484989 -1024 98.03968735956981 292.2156054503256
819.405711 818.4282456484989 -1452 97.61168735956981 291.7876054503256
819.406419 818.4289536484989 -1280 97.78368735956981 291.9596054503256
819.406544 818.429078648499 -1024 98.03968735956981 292.2156054503256
819.406669 818.4292036484989 -768 98.29568735956981 292.4716054503256
819.406836 818.4293706484989 -640 98.42368735956981 292.5996054503256
819.407002 818.4295366484989 -512 98.55168735956981 292.7276054503256
819.408294 818.4308286484988 512 99.57568735956981 293.7516054503256
819.409627 818.4321616484989 732 99.79568735956981 293.9716054503256
819.410336 818.4328706484989 640 99.70368735956981 293.8796054503256
819.473335 818.4958696484989 -513 98.5506873595698 292.7266054503256
819.473835 818.4963696484989 -660 98.40368735956982 292.5796054503256
819.474544 818.4970786484989 -626 98.43768735956981 292.6136054503256
819.521502 818.544036648499 -513 98.5506873595698 292.7266054503256
819.522585 818.5451196484989 -658 98.40568735956981 292.5816054503256
819.523085 818.5456196484989 -632 98.4316873595698 292.6076054503256
819.527835 818.5503696484989 -593 98.47068735956981 292.6466054503256
819.528252 818.5507866484988 -512 98.55168735956981 292.7276054503256
819.530002 818.5525366484989 461 99.52468735956981 293.7006054503256
819.53046 818.5529946484988 582 99.6456873595698 293.8216054503256
819.531252 818.5537866484989 512 99.57568735956981 293.7516054503256
819.54121 818.5637446484989 -451 98.61268735956982 292.7886054503256
819.54171 818.5642446484989 -578 98.48568735956981 292.6616054503256
819.542294 818.5648286484989 -430 98.6336873595698 292.8096054503256
819.578252 818.6007866484989 -524 98.53968735956981 292.7156054503256
819.578544 818.6010786484989 -640 98.42368735956981 292.5996054503256
819.578794 818.6013286484989 -768 98.29568735956981 292.4716054503256
819.57971 818.6022446484989 -898 98.16568735956982 292.3416054503256
819.580585 818.6031196484989 -768 98.29568735956981 292.4716054503256
819.580794 818.6033286484989 -640 98.42368735956981 292.5996054503256
819.581044 818.6035786484989 -472 98.59168735956982 292.7676054503256
819.710419 818.7329536484989 -521 98.54268735956981 292.7186054503256
819.710585 818.7331196484989 -640 98.42368735956981 292.5996054503256
819.710752 818.7332866484988 -768 98.29568735956981 292.4716054503256
819.710877 818.7334116484989 -896 98.16768735956981 292.3436054503256
819.711419 818.7339536484989 -1272 97.7916873595698 291.9676054503256
