#R [kpc]	dR_ [kpc]	dR+ [kpc]	w^2 [1/s^2]	dw^2_ [1/s^2]	dw^2+ [1/s^2]	V [km/s]	dV_ [km/s]	dV+ [km/s]
#
# Eilers (arXiv:1810.09466):
5.27	0	0	1852.5918755333	86.776896435	86.6135501514	226.83	8.7149	8.7049
5.74	0	0	1616.7684444391	60.4536901019	59.3328800884	230.8	7.2	7.12
6.23	0	0	1377.2080931855	47.7972220576	40.6490831656	231.2	6.324	5.724
6.73	0	0	1166.7350600204	37.9518796103	36.7337814094	229.88	6.0376	5.9176
7.22	0	0	1011.3633278597	32.2961464768	30.0057021125	229.61	5.9622	5.7022
7.82	0	0	864.3750384286	24.2052080049	23.9044381251	229.91	5.5182	5.4782
8.19	0	0	780.8578554806	21.076269968	20.1891641285	228.86	5.3772	5.2472
8.78	0	0	665.498959636	19.5976956325	18.892531172	226.5	5.6	5.48
9.27	0	0	595.4231731968	15.6989558132	15.1724985425	226.2	5.244	5.144
9.76	0	0	535.9035247581	12.7104532552	13.1848301028	225.94	4.9388	5.0388
10.26	0	0	483.8284752383	11.56317469	11.3916651277	225.68	4.9536	4.9136
10.75	0	0	437.0238866414	12.4035402704	12.5202199892	224.73	5.99825	6.02825
11.25	0	0	396.5231439012	13.0639171319	13.8073316504	224.02	7.0506	7.2606
11.75	0	0	362.9754611136	10.3715381802	10.3391093889	223.86	5.9965	5.9865
12.25	0	0	329.1040259892	8.0926151304	7.6779585706	222.23	4.9546	4.8146
12.74	0	0	300.2902692172	8.9762674237	8.7586362099	220.77	6.05925	5.97925
13.23	0	0	278.8369866465	8.4097901595	7.9806548369	220.92	6.093	5.923
13.74	0	0	250.5101018287	7.7372222672	7.4377206051	217.47	6.07675	5.94675
14.24	0	0	232.8838890489	8.6368833786	8.4011167062	217.31	7.2893	7.1793
14.74	0	0	217.9329085423	8.9296406827	8.9897324774	217.6	8.266	8.296
15.22	0	0	203.4090669307	10.1229440652	9.6356693852	217.07	9.7428	9.4828
15.74	0	0	190.7347009618	10.0571359642	10.4607515794	217.38	10.6221	10.8521
16.24	0	0	177.1324968453	10.8234888768	11.2824238182	216.14	12.007	12.287
16.74	0	0	161.1716704564	9.3610314187	9.4217021021	212.52	10.9534	10.9934
17.25	0	0	157.3897520689	9.9640418568	10.5604079983	216.41	12.2605	12.6705
17.75	0	0	144.9480341202	11.7084368974	10.9351998413	213.7	15.042	14.472
18.24	0	0	129.9025063601	8.6946386298	8.8446054465	207.89	12.1545	12.2745
18.74	0	0	125.0959885827	10.2631231854	10.8122086315	209.6	14.886	15.346
19.22	0	0	115.3780003378	9.7617221211	9.5605301612	206.45	14.927	14.747
19.71	0	0	104.9403260005	9.4044535825	8.6456359115	201.91	15.1046	14.3746
20.27	0	0	97.1980035675	8.8960686772	8.6431515342	199.84	15.1404	14.8804
20.78	0	0	90.9187028321	10.3295099586	10.3662188322	198.14	19.1812	19.2212
21.24	0	0	84.5464665326	13.6408559162	14.0824196431	195.3	25.52	26.03
21.8	0	0	96.0669743708	25.3578685885	22.4804003619	213.67	41.0204	37.8204
22.14	0	0	63.8916448175	33.414857289	26.187017942	176.97	63.974	53.964
22.73	0	0	72.1789659944	35.0978678722	28.6764778055	193.11	66.262	57.672
23.66	0	0	55.7313364021	22.9280036856	21.7100737841	176.63	53.996	52.066
24.82	0	0	63.909782018	16.9691712319	16.7243802112	198.42	46.184	45.804
#
# Mroz - binned (arXiv:1906.02210):
4.862999999999999545e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.823610919152609995e+03 2.639621973240550687e+02 3.933038996540578864e+02 2.076683735500370744e+02 1.502968632762203605e+01 2.239424547589310421e+01
5.871499999999999275e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.588938513598614918e+03 2.026087203488880277e+02 1.841344385942986719e+02 2.340467480046501692e+02 1.492188392099723515e+01 1.356127571326027770e+01
6.426499999999999879e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.355850460401489954e+03 1.781864919206720970e+02 1.527784340467408128e+02 2.366357781067753763e+02 1.554939146876088252e+01 1.333216481996093883e+01
6.668000000000000149e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.257062596897359981e+03 2.014194118618311222e+02 1.345789572025391863e+02 2.364144639510707293e+02 1.894037035314909900e+01 1.265506272506261887e+01
6.916500000000000092e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.202751102583649981e+03 1.663059928154452791e+02 8.344861717115441024e+01 2.398690765168647943e+02 1.658350793866214801e+01 8.321232337453649208e+00
7.206999999999999851e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.069721909996695103e+03 8.587130831243575813e+01 7.957041269525848293e+01 2.357164911480101352e+02 9.461002572976580538e+00 8.766791772911968650e+00
7.443500000000000227e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.776136261364230222e+02 5.088699852272463886e+01 8.476415996965363320e+01 2.327345262506644303e+02 6.057179020872148989e+00 1.008964384607500975e+01
7.626999999999999780e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.670594588925745256e+02 8.592056403576145840e+01 8.061952828415462591e+01 2.371812398439432741e+02 1.053644929414655174e+01 9.886382630477815070e+00
7.763500000000000512e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.733465920883500075e+02 6.421960829345812272e+01 1.083366922448728928e+02 2.294303524582512921e+02 8.435326535291737926e+00 1.423016114740150151e+01
